"stat","times_of_observation","coyotes","bobcats","cougars","black_bears","blacktailed_deer","snowshoe_hares","dist_water","dist_trail","dist_road","slope","elevation","NDVI","mammals","id","lat","long"
"GE03",66,0,0,0,0.0303030303030303,0.696969696969697,0.0151515151515152,155.2905435,485.5470575,532.217536,9.16480732,157,0.811872727272727,0.742424242424242,2,49.26,-122.53
"GE09",64,0,0,0.015625,0.015625,0.015625,0,367.7922988,385.7007561,2622.730536,39.92260742,517,0.75314375,0.046875,8,49.36,-122.44
"GE11",66,0.0151515151515152,0,0,0.0606060606060606,0.287878787878788,0,217.46651,354.0056685,892.4864243,4.647678852,529,0.739118181818182,0.363636363636364,10,49.34,-122.44
"GE15",63,0,0,0.0158730158730159,0,0,0,82.57594444,409.0947532,267.6589754,9.098919868,160,0.778761904761905,0.0158730158730159,14,49.31,-122.48
"GE18",63,0,0.0158730158730159,0,0,0.222222222222222,0,206.199,484.1841,1568.761,16.31562,831,0.706606349206349,0.238095238095238,17,49.32,-122.51
"GE22",63,0,0.0158730158730159,0,0,0,0.0158730158730159,72.0966,313.1603,355.7486,10.43216,89,0.781747619047619,0.0317460317460317,21,49.27,-122.52
"GE25",66,0,0,0,0.0151515151515152,0.0151515151515152,0,113.6363,511.9693,4506.745,21.99778,365,0.704215151515152,0.0303030303030303,24,49.38,-122.46
"GE32",64,0,0.015625,0,0,0.078125,0,55.31091,1840.715,3772.113,8.915991,146,0.7181546875,0.09375,31,49.35,-122.4
"GE33",64,0,0,0,0,0.109375,0,24.12143,1316.33,4236.998,24.29028,273,0.7814125,0.109375,32,49.36,-122.4
"GE34",31,0,0.0645161290322581,0,0,0.129032258064516,0,28.40501,3680.53,1627.184,16.67374,11,0.693361290322581,0.193548387096774,33,49.4,-122.53
"GE35",64,0,0,0.03125,0.078125,0.0625,0,52.05974,611.6513,3813.937,8.043096,324,0.7367578125,0.171875,34,49.42,-122.43
"GE36",56,0,0,0,0,0.142857142857143,0,36.78857,4687.229,2625.933,8.474013,13,0.449878571428571,0.142857142857143,35,49.46,-122.51
"GE37",56,0,0,0,0.107142857142857,0,0,28.4451,4608.749,2747.903,14.59039,119,0.714469642857143,0.107142857142857,36,49.47,-122.5
"MK01",8,0.5,0.25,0,0.5,0,0,164.9778,755.1261,6.275633,4.521652,261,0.84205,1.25,41,49.28,-122.55
"MK03",8,0,0,0,0.375,0.5,0,21.80363,1800.815,73.73781,5.354426,319,0.7157625,0.875,43,49.32,-122.55
"MK04",62,0,0,0.0161290322580645,0.032258064516129,0.0483870967741935,0.129032258064516,102.1676,3866.121,265.0438,3.050864,530,0.648758064516129,0.225806451612903,44,49.35,-122.56
"MK05",9,0,0,0,0,0.111111111111111,0,53.98276,2069.389,133.7917,7.839997,540,0.809422222222222,0.111111111111111,45,49.33,-122.57
"MK07",9,0.111111111111111,0,0,0.333333333333333,0.333333333333333,0,47.54981,2198.832,6.335643,28.82502,593,0.698022222222222,0.777777777777778,47,49.33,-122.53
"MK08",9,0,0,0,0,1.11111111111111,0,125.9512,482.7855,221.503,29.39104,295,0.856422222222222,1.11111111111111,48,49.29,-122.55
"MK10",60,0,0.0333333333333333,0,0.05,0,0.35,5.920266,396.2491,377.3693,8.29136,175,0.774625,0.433333333333333,50,49.29,-122.59
"MK11",9,0,0,0,0.111111111111111,0.555555555555556,0,33.94958,218.8469,186.3459,9.273351,286,0.851533333333333,0.666666666666667,51,49.3,-122.59
"MK12",8,0.125,0,0,0.25,0.25,0,232.1497,390.9657,1.646646,6.09823,278,0.8507875,0.625,52,49.28,-122.57
"MK13",9,0,0,0,0.555555555555556,0.111111111111111,0,86.42152,2.898358,2.898358,14.28424,447,0.856233333333333,0.666666666666667,53,49.31,-122.58
"MK14",42,0,0,0,0.0714285714285714,0.5,0.0238095238095238,264.8022,1015.174,335.1535,5.958701,604,0.703047619047619,0.595238095238095,54,49.31,-122.56
"MK15",9,0.666666666666667,0,0,0,0.111111111111111,0.444444444444444,37.71932,860.8772,136.8776,6.630645,305,0.857111111111111,1.22222222222222,55,49.28,-122.56
"MK16",58,0.0172413793103448,0,0,0,0.172413793103448,0.0172413793103448,429.9753,2402.794,333.7957,30.00321,549,0.762662068965517,0.206896551724138,56,49.34,-122.53
"MK17",58,0,0,0.0172413793103448,0.0517241379310345,1.01724137931034,0,221.4602,2000.791,323.7197,30.89653,476,0.732484482758621,1.08620689655172,57,49.36,-122.53
