stat,zmean,zsd,zkurt,zq20,zq50,zq70,zq95,zmax,understory_density
GE03,32.94219307805441,8.06084827782458,5.927525519453792,28.1,34.04,36.86,43.94,58.61,0.5357559269335406
GE11,26.583579168971195,8.425236292867785,3.5550547667364283,20.8,27.16,30.810000000000002,39.5,53.86,0.5540373035975875
GE15,34.14122041876403,9.776437673478261,3.5958909750996804,27.45,34.25,38.71,50.06,64.51,0.16683563308233437
GE18,28.249987914540352,12.368195165302952,2.416151331740628,18.1,26.13,35.22,49.39,65.44,0.4844458588590978
GE22,10.991197140618434,5.57068049299459,7.511981993448997,5.89,10.74,13.66,19.78,56.620000000000005,0.09480311521944829
MK01,14.729781786772175,6.369927776753237,2.272561630649242,8.85,14.51,18.45,25.28,35,0.6441250268167784
MK03,23.50359838787215,7.04996606509585,3.400047371104909,18.12,23.78,27.05,34.800000000000004,48.02,0.18760157196466035
MK04,19.662504561025155,8.8981015772404,2.333580733377173,11.77,20.07,24.79,33.81,43.26,0.7198026628049182
MK05,26.649818473959577,6.496690600049961,4.261651153334471,21.95,26.6,29.5,37.45,55.76,0.3375900611182575
MK07,13.566616100412853,6.979139927119129,2.3424046956394045,7.08,12.56,17.51,25.7,38.81,0.44714936108691555
MK08,19.838603561305582,8.07199788698934,2.7462117769770975,13.51,20.46,24.28,32.230000000000004,43.57,0.2739909940950729
MK10,29.07364081866255,10.744820412066634,2.960218327619242,20,32.32,36.04,41.68,51.7,0.5370127485441477
MK11,29.80085444449683,6.446821480614492,5.203037794916612,26.16,30.87,33.03,38.14,52.94,0.2730791343879843
MK12,23.682068535857105,11.182303201125883,2.1919841885971496,12.86,23.98,30.48,41.42,56.97,0.4685795339412361
MK13,31.507119937957047,9.024435300946044,3.572173819399596,24.84,32.76,36.32,44.726999999999826,59.1,0.7129146747790815
MK14,24.59705096076935,11.228074794807455,2.6185899979578444,15.64,26.51,31.14,40.5,57.71,0.559017749142166
MK15,18.301463604918112,7.837459293883926,2.3517365696290256,11.02,18.240000000000002,22.64,31.41,45.37,0.2587795447525111
MK16,19.581298462041886,9.020215739152523,1.9745823267638756,10.450000000000001,20.14,25.810000000000002,33.22,43.68,0.2651774329531282
MK17,26.509144833785783,5.014479571684943,5.918800841952276,23.16,26.43,28.48,34.95,48.26,0.3747096901714681
