"","predictor_variable","response_variable","estimate","p_value"
"rho","zmean","coyotes",-0.546486996752734,0.0154781955250993
"rho1","zmean","bobcats",-0.171089395847289,0.483725629694142
"rho2","zmean","cougars",0.135330203283196,0.580677456611426
"rho3","zmean","black_bears",-0.00179913158885277,0.994167685681411
"rho4","zmean","blacktailed_deer",0.125389063135491,0.609015445480403
"rho5","zmean","snowshoe_hares",-0.238169695412348,0.326146692609395
"rho6","zmean","mammals",-0.239578785678922,0.323206691294604
"rho7","zsd","coyotes",-0.0765507077163363,0.755434923359768
"rho8","zsd","bobcats",-0.0209246023698124,0.932241545969957
"rho9","zsd","cougars",-0.0911407491499077,0.710580445113116
"rho10","zsd","black_bears",-0.0881574478537858,0.719683614489374
"rho11","zsd","blacktailed_deer",-0.122739998421361,0.61665992124597
"rho12","zsd","snowshoe_hares",0.202697613116892,0.405269548904035
"rho13","zsd","mammals",-0.356296655625064,0.134322609568093
"rho14","zkurt","coyotes",-0.65493383268421,0.00234022245526395
"rho15","zkurt","bobcats",-0.0640046660723673,0.794620027650373
"rho16","zkurt","cougars",0.139472964608192,0.569036558247748
"rho17","zkurt","black_bears",-0.142131395519369,0.561620352691882
"rho18","zkurt","blacktailed_deer",0.172189206418456,0.480876581349697
"rho19","zkurt","snowshoe_hares",-0.180400875674034,0.459869701911424
"rho20","zkurt","mammals",-0.155331300605015,0.525441355363717
"rho21","zq20","coyotes",-0.565624673681818,0.0116010240333715
"rho22","zq20","bobcats",-0.328639343102347,0.169512559849331
"rho23","zq20","cougars",0.227851872874769,0.348152271860851
"rho24","zq20","black_bears",0.0431791581324665,0.860673402538712
"rho25","zq20","blacktailed_deer",0.286098989126049,0.235055482712452
"rho26","zq20","snowshoe_hares",-0.306073395806507,0.202514159180817
"rho27","zq20","mammals",-0.0903905308605457,0.712866168534533
"rho28","zq50","coyotes",-0.499706008703862,0.0293683713630373
"rho29","zq50","bobcats",-0.230170626067936,0.343133876817774
"rho30","zq50","cougars",0.109092714891556,0.656628899366537
"rho31","zq50","black_bears",0.0431791581324665,0.860673402538712
